dataset,dir_exists,csv_exists,n_rds_files,n_csv_rows,n_csv_samples,count_consistent,sample_col,ncell_col,flag_col,n_pass_min_cells,n_flag_not_ok,status,review
Chen2023,TRUE,TRUE,29,10,10,FALSE,Sample,,status,,0,COUNT_MISMATCH,""
E-MTAB-11536,TRUE,TRUE,10,8,8,FALSE,Sample,,status,,1,COUNT_MISMATCH,REVIEW_FLAG
GSE116256,TRUE,TRUE,27,41,41,FALSE,Sample,,status,,14,COUNT_MISMATCH,REVIEW_FLAG
GSE185381,TRUE,TRUE,102,52,52,FALSE,Sample,,status,,0,COUNT_MISMATCH,""
GSE185991,TRUE,TRUE,32,42,42,FALSE,Sample,,status,,11,COUNT_MISMATCH,REVIEW_FLAG
GSE227903,TRUE,TRUE,27,28,28,FALSE,Sample,,status,,1,COUNT_MISMATCH,REVIEW_FLAG
GSE239721,TRUE,TRUE,17,20,20,FALSE,Sample,,status,,3,COUNT_MISMATCH,REVIEW_FLAG
Petti2019,TRUE,TRUE,9,5,5,FALSE,Sample,,status,,0,COUNT_MISMATCH,""
ALL,FALSE,TRUE,0,244,244,,Sample,,status,,30,MISSING_DIR,REVIEW_FLAG
GSE147989,TRUE,TRUE,4,4,4,TRUE,Sample,,status,,0,OK,""
GSE201966,TRUE,TRUE,7,7,7,TRUE,Sample,,status,,0,OK,""
GSE207356,TRUE,TRUE,3,3,3,TRUE,Sample,,status,,0,OK,""
GSE253355,TRUE,TRUE,12,12,12,TRUE,Sample,,status,,0,OK,""
GSE289435,TRUE,TRUE,12,12,12,TRUE,Sample,,status,,0,OK,""
